benchmark_id,deadline_s,policy_a,policy_b,mean_difference,seq_decision,seq_stop_step,fixed_reject,naive_stop_step
math_gsm8k_actual_qwen3b_v2,0.1,greedy,self_consistency_3,-0.016667,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.1,self_consistency_3,greedy,0.016667,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.1,self_consistency_3,budget_branch,0.016667,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.1,budget_branch,self_consistency_3,-0.016667,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.15,greedy,self_consistency_3,-0.025,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.15,self_consistency_3,greedy,0.025,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.15,self_consistency_3,budget_branch,0.008333,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.15,budget_branch,self_consistency_3,-0.008333,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.2,greedy,self_consistency_3,-0.025,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.2,self_consistency_3,greedy,0.025,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.2,self_consistency_3,budget_branch,0.008333,continue,,False,
math_gsm8k_actual_qwen3b_v2,0.2,budget_branch,self_consistency_3,-0.008333,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.1,greedy,budget_branch,-0.025,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.1,budget_branch,greedy,0.025,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.15,greedy,budget_branch,-0.016667,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.15,budget_branch,greedy,0.016667,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.2,greedy,budget_branch,-0.016667,continue,,False,
reasoning_bbh_exact_actual_qwen3b_v2,0.2,budget_branch,greedy,0.016667,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.1,self_consistency_3,budget_branch,0.008333,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.1,budget_branch,self_consistency_3,-0.008333,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.15,self_consistency_3,budget_branch,-0.008334,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.15,budget_branch,self_consistency_3,0.008334,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.2,self_consistency_3,budget_branch,-0.016667,continue,,False,
knowledge_arc_actual_qwen3b_v2,0.2,budget_branch,self_consistency_3,0.016667,continue,,False,
language_cola_actual_qwen3b_v2,0.1,greedy,self_consistency_3,0.008333,continue,,False,
language_cola_actual_qwen3b_v2,0.1,self_consistency_3,greedy,-0.008333,continue,,False,
language_cola_actual_qwen3b_v2,0.15,greedy,self_consistency_3,-0.008334,continue,,False,
language_cola_actual_qwen3b_v2,0.15,self_consistency_3,greedy,0.008334,continue,,False,
language_cola_actual_qwen3b_v2,0.2,greedy,self_consistency_3,-0.016667,continue,,False,
language_cola_actual_qwen3b_v2,0.2,self_consistency_3,greedy,0.016667,continue,,False,
